Repository,Tag
https://github.com/opengeospatial/ets-kml22.git,2.2-r11
https://github.com/opengeospatial/ets-gml32.git,3.2.1-r18
https://github.com/opengeospatial/ets-wfs20.git,2.0-r18
https://github.com/opengeospatial/ets-wfs11.git,r21
https://github.com/opengeospatial/ets-wfs10.git,r7
https://github.com/opengeospatial/ets-wms13.git,r10
https://github.com/opengeospatial/ets-wms11.git,r7
https://github.com/opengeospatial/ets-wcs20.git,r6
https://github.com/opengeospatial/ets-wcs10.git,r8
https://github.com/opengeospatial/ets-wmts10.git,r4
https://github.com/opengeospatial/ets-csw202.git,r10
